"num_stimulus","classe"
"156","Equilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","PasEquilibre"
"352","PasEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","Equilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","PresqueEquilibre"
"156","PasEquilibre"
"672","Equilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","PasEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","Equilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","PresqueEquilibre"
"156","Equilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PasEquilibre"
"156","PresqueEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","Equilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","PresqueEquilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","Equilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","Equilibre"
"672","PasEquilibre"
"756","PresqueEquilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","Equilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","Equilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PasEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","Equilibre"
"756","PresqueEquilibre"
"421","Equilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","Equilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","Equilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","PresqueEquilibre"
"327","Equilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","Equilibre"
"672","Equilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","Equilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PasEquilibre"
"756","PresqueEquilibre"
"421","Equilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","Equilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","Equilibre"
"672","Equilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","Equilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PresqueEquilibre"
"489","PasEquilibre"
"327","PresqueEquilibre"
"238","PasEquilibre"
"352","PasEquilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PresqueEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","PresqueEquilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","PresqueEquilibre"
"352","Equilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","PresqueEquilibre"
"421","PresqueEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","PasEquilibre"
"352","PasEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PasEquilibre"
"756","PresqueEquilibre"
"421","PasEquilibre"
"489","PresqueEquilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","PresqueEquilibre"
"156","PresqueEquilibre"
"672","Equilibre"
"756","Equilibre"
"421","Equilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PasEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PasEquilibre"
"238","Equilibre"
"352","PresqueEquilibre"
"980","Equilibre"
"156","PasEquilibre"
"672","PresqueEquilibre"
"756","Equilibre"
"421","PasEquilibre"
"489","Equilibre"
"327","PresqueEquilibre"
"238","Equilibre"
"352","Equilibre"
"980","Equilibre"
