id_item;Num_zone;Nom_zone
34359006-f70f-438e-85d0-420cf2fe6944;1;legumes
34359006-f70f-438e-85d0-420cf2fe6944;2;feculents
34359006-f70f-438e-85d0-420cf2fe6944;3;feculents
34359006-f70f-438e-85d0-420cf2fe6944;4;legumes
34359006-f70f-438e-85d0-420cf2fe6944;5;feculents
34359006-f70f-438e-85d0-420cf2fe6944;5;proteines
20f3c152-6ebf-49db-8e1a-00eebd99feb6;1;feculents
20f3c152-6ebf-49db-8e1a-00eebd99feb6;1;fruits
20f3c152-6ebf-49db-8e1a-00eebd99feb6;2;legumes
20f3c152-6ebf-49db-8e1a-00eebd99feb6;3;legumes
20f3c152-6ebf-49db-8e1a-00eebd99feb6;4;legumes
20f3c152-6ebf-49db-8e1a-00eebd99feb6;5;feculents
213479f7-39af-4b83-b0e9-4ba473d27429;1;fruits
213479f7-39af-4b83-b0e9-4ba473d27429;2;legumes
213479f7-39af-4b83-b0e9-4ba473d27429;3;legumes
213479f7-39af-4b83-b0e9-4ba473d27429;4;feculents
213479f7-39af-4b83-b0e9-4ba473d27429;5;feculents
213479f7-39af-4b83-b0e9-4ba473d27429;5;proteines
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;1;fruits
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;2;legumes
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;3;proteines
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;4;proteines
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;4;fruits
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;5;legumes
cc2a8b56-732c-4e4c-a058-248783b68587;1;legumes
cc2a8b56-732c-4e4c-a058-248783b68587;2;legumes
cc2a8b56-732c-4e4c-a058-248783b68587;3;proteines
cc2a8b56-732c-4e4c-a058-248783b68587;4;legumes
cc2a8b56-732c-4e4c-a058-248783b68587;5;feculents
cc2a8b56-732c-4e4c-a058-248783b68587;5;proteines
dd13fcba-0ae1-43d3-9d32-1672ed84f151;1;feculents
dd13fcba-0ae1-43d3-9d32-1672ed84f151;2;legumes
dd13fcba-0ae1-43d3-9d32-1672ed84f151;3;fruits
dd13fcba-0ae1-43d3-9d32-1672ed84f151;4;feculents
dd13fcba-0ae1-43d3-9d32-1672ed84f151;5;proteines
6afda059-04a5-4308-b776-a532ed142284;1;fruits
6afda059-04a5-4308-b776-a532ed142284;2;legumes
6afda059-04a5-4308-b776-a532ed142284;3;feculents
6afda059-04a5-4308-b776-a532ed142284;4;feculents
6afda059-04a5-4308-b776-a532ed142284;5;proteines
f61f9030-d814-495d-af95-0e643697de64;1;feculents
f61f9030-d814-495d-af95-0e643697de64;2;legumes
f61f9030-d814-495d-af95-0e643697de64;3;fruits
f61f9030-d814-495d-af95-0e643697de64;4;proteines
f61f9030-d814-495d-af95-0e643697de64;5;feculents
5445f170-12c1-48fc-9563-3709dd2993b0;1;proteines
5445f170-12c1-48fc-9563-3709dd2993b0;1;fruits
5445f170-12c1-48fc-9563-3709dd2993b0;2;legumes
5445f170-12c1-48fc-9563-3709dd2993b0;3;feculents
5445f170-12c1-48fc-9563-3709dd2993b0;4;fruits
5445f170-12c1-48fc-9563-3709dd2993b0;5;feculents
5445f170-12c1-48fc-9563-3709dd2993b0;5;proteines
